App,Date,Month,CW,Platform,Campaign name,Source,Cost Net EUR,CPC Net EUR,Cost Gross EUR,EUR/USD,Cost Net USD,CPC Net USD,Cost Gross USD,Impressions,Clicks,Installs,CR %,02_Reopenings,03_Reopeners,04_Search,05_Favorite,06_DetailPage,07_ListPage,08_Email,09_Call,c_1eug9m,c_20gv5l,c_2gdlep,c_3mcwle,c_3mn473,c_3wmgwg,c_cxohyw,c_m8n2gh,c_ngwhy6,c_ptqr8d,c_qkf8fk,c_rf7rq2,c_siuh6e,c_wzuz9r,c_xb349m,c_xwzmca
Autoscout RM,2014-01-01,1,1,iPad,New Openers,Trademob DSP,0.0,0,0.0,1.3791,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autoscout RM,2014-01-02,1,1,iPad,New Openers,Trademob DSP,0.0,0,0.0,1.3658,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autoscout RM,2014-01-03,1,1,iPad,New Openers,Trademob DSP,0.0,0,0.0,1.3634,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autoscout RM,2014-01-04,1,1,iPad,New Openers,Trademob DSP,0.0,0,0.0,1.3634,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autoscout RM,2014-01-05,1,1,iPad,New Openers,Trademob DSP,0.0,0,0.0,1.3634,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autoscout RM,2014-01-06,1,2,iPad,New Openers,Trademob DSP,0.99,0.33,1.12959,1.3602,1.346598,0.44886600000000004,1.5364683180000003,1429,3,0,0.0,4,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autoscout RM,2014-01-07,1,2,iPad,New Openers,Trademob DSP,3.3000000000000003,0.33,3.7653000000000003,1.3641,4.501530000000001,0.450153,5.136245730000001,2239,10,0,0.0,24,7,4,0,34,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autoscout RM,2014-01-08,1,2,iPad,New Openers,Trademob DSP,1.6500000000000001,0.33,1.8826500000000002,1.3594,2.24301,0.448602,2.55927441,2280,5,0,0.0,17,3,27,0,38,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autoscout RM,2014-01-09,1,2,iPad,New Openers,Trademob DSP,3.96,0.33,4.51836,1.3612,5.390352,0.449196,6.150391632000001,2875,12,0,0.0,26,7,12,0,31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autoscout RM,2014-01-10,1,2,iPad,New Openers,Trademob DSP,2.31,0.33,2.63571,1.3587,3.1385970000000003,0.448371,3.581139177,2081,7,0,0.0,17,5,20,6,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
